"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","","",
"Bulgaria","BGR","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","","",
"Bahrain","BHR","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","","",
"Bahamas, The","BHS","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","","",
"Bosnia and Herzegovina","BIH","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","","",
"Belarus","BLR","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","","",
"Belize","BLZ","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","15.26","","",
"Bermuda","BMU","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","","",
"Brazil","BRA","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","5661","","",
