"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Antigua and Barbuda","ATG","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0017","0.0019266667","0.0021533333","0.00238","0.0026066667","0.0028333333","0.00306","0.0032866667","0.0035133333","0.00374","0.0039666667","0.0041933333","0.00442","0.0046466667","0.0048733333","0.0051","0.005","0.0049","0.0048","0.0047","0.0046","0.0045","0.0044","0.0044","0.0044","0.0044","0.0044","0.0044","0.0044","0.0044","","",
"Australia","AUS","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5502","21.1102","19.8502","22.1602","21.9282","21.8222","21.7162","21.65924","21.534","20.8338","20.1336","19.4334","18.7332","17.55665","16.3801","15.20355","14.027","13.175","13.215","15.868","19.148","18.463","9.22","10.623","12.05864137","12.42540214","9.78261156","","",
"Austria","AUT","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","3.34","3.3874","3.4348","3.4822","3.5296","3.577","3.6226","3.6682","3.7138","3.7594","3.805","3.7334","3.6618","3.5902","3.5186","3.447","3.5445","3.642","3.654","3.666","3.636","3.607","3.577","3.566125","3.55525","3.544375","3.5335","3.522625","3.51175","3.500875","3.49","3.49","3.49","3.49","3.49","3.49","3.49","3.49","3.49","3.49","","",
"Azerbaijan","AZE","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.202","16.338","14.633","13.97","13.457","12.518","10.235","11.968","10.99","9.923","9.919","10.518","11.175","11.8","12.144","12.085","11.53","11.14","10.97","11.296","11.975","11.994","11.592","11.689","11.878","12.12","12.167","12.59","","",
"Burundi","BDI","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1144615385","0.1289230769","0.1433846154","0.1578461538","0.1723076923","0.1867692308","0.2012307692","0.2156923077","0.2301538462","0.2446153846","0.2590769231","0.2735384615","0.288","0.28642","0.28484","0.28326","0.28168","0.2801","0.2801","0.2801","0.2801","0.2801","0.2801","0.2801","0.2801","0.2801","0.2801","0.2801","0.2801","0.2801","0.2801","0.2801","","",
"Belgium","BEL","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","9.0305","8.97854","8.92658","8.87462","8.82266","8.7707","8.71874","8.66678","8.61482","8.56286","8.5109","8.45894","8.40698","8.35502","8.30306","8.2511","7.97055","7.69","7.6385333333","7.5870666667","7.5331","7.1344","6.7357","6.6191666667","6.5026333333","6.3861","6.30005","6.214","6.129","6.002","5.953","5.082","5.3","4.829","4.556","3.994","4.193040325","4.39208065","4.400944549","4.400944549","","",
"Benin","BEN","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","0.11","0.1148175","0.119635","0.1244525","0.12927","0.1340875","0.138925","0.1437625","0.1486","0.1534375","0.1500892857","0.1467410714","0.1433928571","0.1400446429","0.1366964286","0.1333482143","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","","",
"Burkina Faso","BFA","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","0.29","0.30228","0.31456","0.32684","0.33912","0.3514","0.3637","0.376","0.3952444444","0.4144888889","0.4337333333","0.4529777778","0.4722222222","0.58","0.614","0.648","0.682","0.716","0.75","0.784","0.818","0.818","0.818","0.818","0.818","0.818","0.818","0.818","0.818","0.818","0.818","0.818","0.818","0.818","0.818","","",
"Bangladesh","BGD","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.87","35.87","35.87","35.87","35.87","35.87","35.87","35.87","35.87","35.87","35.87","35.87","","",
"Bulgaria","BGR","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","14.18","14.162","14.144","14.126","14.108","14.09","13.5595133333","13.0290266667","12.49854","11.9680533333","7.6236666667","7.4746","7.3255333333","7.1764666667","7.0274","6.8783333333","6.7292666667","6.5802","6.4311333333","6.2820666667","6.1327","5.8334","6.5887","6.51132","6.43394","6.35656","6.27918","6.2018","6.425","6.1203","5.96","6.385","5.7146","5.468","5.376","5.6294","5.689","5.658","5.425","5.422","","",
